loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,emi,status,applied_date,approved_date
LN98049,CUST98440,Personal,70337.03,8.8,12,630.75,Active,2025-01-10,2025-01-12
LN98050,CUST98156,Auto,190695.13,8.43,60,1953.5,Active,2025-01-10,2025-01-12
LN98051,CUST98930,Home,192718.3,6.55,12,975.69,Active,2025-01-10,2025-01-12
LN98052,CUST98969,Personal,284900.02,5.52,36,1582.89,Active,2025-01-10,2025-01-12
LN98053,CUST98552,Personal,150765.94,5.02,12,2286.59,Active,2025-01-10,2025-01-12
LN98054,CUST98143,Personal,96477.32,6.91,24,845.86,Active,2025-01-10,2025-01-12
LN98055,CUST98951,Education,214827.08,7.99,24,2369.84,Active,2025-01-10,2025-01-12
LN98056,CUST98124,Personal,118307.24,10.37,60,1854.35,Active,2025-01-10,2025-01-12
LN98057,CUST98528,Education,291675.58,5.59,36,108.69,Active,2025-01-10,2025-01-12
LN98058,CUST98354,Auto,173012.77,9.87,120,562.54,Active,2025-01-10,2025-01-12
LN98059,CUST98449,Auto,24687.63,9.82,12,2091.97,Active,2025-01-10,2025-01-12
LN98060,CUST98060,Auto,21654.12,3.27,60,1641.16,Active,2025-01-10,2025-01-12
LN98061,CUST98131,Personal,26303.52,6.18,36,1456.17,Active,2025-01-10,2025-01-12
LN98062,CUST98760,Auto,31609.07,7.76,120,2645.02,Active,2025-01-10,2025-01-12
LN98063,CUST98968,Auto,169059.57,9.77,12,2638.22,Active,2025-01-10,2025-01-12
LN98064,CUST98524,Personal,219209.84,9.39,60,1242.82,Active,2025-01-10,2025-01-12
LN98065,CUST98898,Education,99806.87,5.06,60,390.9,Active,2025-01-10,2025-01-12
LN98066,CUST98606,Home,12755.74,3.2,36,1197.69,Active,2025-01-10,2025-01-12
LN98067,CUST98330,Home,213417.29,8.91,60,1269.47,Active,2025-01-10,2025-01-12
LN98068,CUST98962,Education,27511.21,9.46,12,491.57,Active,2025-01-10,2025-01-12
LN98069,CUST98227,Auto,92634.95,3.92,120,239.69,Active,2025-01-10,2025-01-12
LN98070,CUST98795,Personal,95367.83,9.67,12,322.01,Active,2025-01-10,2025-01-12
LN98071,CUST98645,Education,294431.92,7.4,12,2781.71,Active,2025-01-10,2025-01-12
LN98072,CUST98193,Home,39806.16,5.5,24,890.19,Active,2025-01-10,2025-01-12
LN98073,CUST98704,Personal,33511.94,8.4,60,2959.93,Active,2025-01-10,2025-01-12
LN98074,CUST98985,Education,272213.81,3.93,60,1206.69,Active,2025-01-10,2025-01-12
LN98075,CUST98101,Personal,206698.91,9.24,120,2965.71,Active,2025-01-10,2025-01-12
LN98076,CUST98261,Personal,264081.33,8.77,24,2663.53,Active,2025-01-10,2025-01-12
LN98077,CUST98051,Personal,174871.9,6.78,120,912.91,Active,2025-01-10,2025-01-12
LN98078,CUST98541,Education,173787.45,10.45,24,2602.71,Active,2025-01-10,2025-01-12
LN98079,CUST98588,Personal,199540.59,10.69,120,1774.73,Active,2025-01-10,2025-01-12
LN98080,CUST98726,Personal,207369.39,5.08,36,741.86,Active,2025-01-10,2025-01-12
LN98081,CUST98007,Auto,229973.87,11.29,60,865.95,Active,2025-01-10,2025-01-12
LN98082,CUST98680,Personal,96052.07,7.6,60,717.2,Active,2025-01-10,2025-01-12
LN98083,CUST98560,Education,188982.87,9.68,120,280.92,Active,2025-01-10,2025-01-12
LN98084,CUST98132,Personal,93286.19,6.74,36,2521.58,Active,2025-01-10,2025-01-12
LN98085,CUST98625,Auto,45786.03,11.83,36,1309.0,Active,2025-01-10,2025-01-12
LN98086,CUST98255,Auto,122551.99,4.35,12,470.18,Active,2025-01-10,2025-01-12
LN98087,CUST98137,Home,17110.31,6.08,120,104.57,Active,2025-01-10,2025-01-12
LN98088,CUST98885,Personal,62469.56,8.27,120,406.8,Active,2025-01-10,2025-01-12
LN98089,CUST98356,Education,270635.36,6.33,60,1212.24,Active,2025-01-10,2025-01-12
LN98090,CUST98520,Education,108232.98,11.44,60,2495.84,Active,2025-01-10,2025-01-12
LN98091,CUST98609,Education,211419.09,3.83,60,1892.9,Active,2025-01-10,2025-01-12
LN98092,CUST98207,Personal,17476.78,11.85,120,1382.59,Active,2025-01-10,2025-01-12
LN98093,CUST98632,Auto,262657.64,4.29,24,1436.38,Active,2025-01-10,2025-01-12
LN98094,CUST98090,Auto,81411.67,8.38,120,2766.27,Active,2025-01-10,2025-01-12
LN98095,CUST98649,Auto,64352.0,7.21,60,1389.91,Active,2025-01-10,2025-01-12
LN98096,CUST98452,Education,230276.69,8.34,60,2423.06,Active,2025-01-10,2025-01-12
LN98097,CUST98987,Personal,104286.11,5.8,120,2003.56,Active,2025-01-10,2025-01-12
LN98098,CUST98131,Auto,281985.59,8.78,36,908.35,Active,2025-01-10,2025-01-12
LN98099,CUST98885,Education,288371.66,10.75,120,2126.4,Active,2025-01-10,2025-01-12
LN98100,CUST98103,Personal,48134.55,9.87,12,1417.95,Active,2025-01-10,2025-01-12
LN98101,CUST98289,Education,291885.91,8.7,120,2574.71,Active,2025-01-10,2025-01-12
LN98102,CUST98869,Education,202004.26,9.38,120,1853.0,Active,2025-01-10,2025-01-12
LN98103,CUST98275,Home,167115.54,10.37,36,2620.88,Active,2025-01-10,2025-01-12
LN98104,CUST98399,Home,217983.7,6.6,12,700.45,Active,2025-01-10,2025-01-12
LN98105,CUST98409,Personal,118857.34,6.68,12,2863.75,Active,2025-01-10,2025-01-12
LN98106,CUST98494,Education,69376.26,6.69,24,1082.5,Active,2025-01-10,2025-01-12
LN98107,CUST98229,Personal,198614.57,3.06,120,443.16,Active,2025-01-10,2025-01-12
LN98108,CUST98189,Auto,125623.61,10.78,36,2784.96,Active,2025-01-10,2025-01-12
LN98109,CUST98702,Personal,82337.47,10.37,120,1461.04,Active,2025-01-10,2025-01-12
LN98110,CUST98850,Personal,130024.47,7.65,120,1659.09,Active,2025-01-10,2025-01-12
LN98111,CUST98062,Education,16560.45,3.73,36,2184.29,Active,2025-01-10,2025-01-12
LN98112,CUST98634,Auto,229467.1,5.48,60,1173.81,Active,2025-01-10,2025-01-12
LN98113,CUST98058,Home,8030.97,6.0,24,2385.07,Active,2025-01-10,2025-01-12
LN98114,CUST98612,Education,250936.65,7.95,24,449.15,Active,2025-01-10,2025-01-12
LN98115,CUST98527,Education,178955.19,7.48,36,1672.14,Active,2025-01-10,2025-01-12
LN98116,CUST98692,Auto,202958.71,3.8,24,2061.42,Active,2025-01-10,2025-01-12
LN98117,CUST98383,Auto,88585.08,3.03,60,336.57,Active,2025-01-10,2025-01-12
LN98118,CUST98655,Education,44942.03,10.66,36,612.8,Active,2025-01-10,2025-01-12
LN98119,CUST98259,Home,11510.26,8.14,12,1823.88,Active,2025-01-10,2025-01-12
LN98120,CUST98473,Personal,85174.85,6.4,24,2567.17,Active,2025-01-10,2025-01-12
LN98121,CUST98561,Home,285585.68,10.64,120,375.18,Active,2025-01-10,2025-01-12
LN98122,CUST98496,Auto,149892.94,3.35,60,1772.57,Active,2025-01-10,2025-01-12
LN98123,CUST98227,Home,152211.61,9.09,36,196.04,Active,2025-01-10,2025-01-12
LN98124,CUST98348,Auto,109065.18,3.36,60,1234.63,Active,2025-01-10,2025-01-12
LN98125,CUST98342,Personal,157405.42,9.19,24,1965.14,Active,2025-01-10,2025-01-12
LN98126,CUST98584,Auto,260368.27,6.23,120,261.44,Active,2025-01-10,2025-01-12
LN98127,CUST98817,Home,257714.19,3.89,24,1350.04,Active,2025-01-10,2025-01-12
LN98128,CUST98161,Auto,190734.16,4.4,12,705.91,Active,2025-01-10,2025-01-12
LN98129,CUST98043,Home,261184.95,11.63,36,2914.53,Active,2025-01-10,2025-01-12
LN98130,CUST98546,Auto,214807.08,3.63,120,1610.56,Active,2025-01-10,2025-01-12
LN98131,CUST98191,Auto,274393.61,6.55,24,1711.57,Active,2025-01-10,2025-01-12
LN98132,CUST98549,Home,73819.07,3.96,24,311.2,Active,2025-01-10,2025-01-12
LN98133,CUST98241,Auto,275644.25,4.53,12,276.52,Active,2025-01-10,2025-01-12
LN98134,CUST98748,Auto,137934.57,10.95,12,1682.25,Active,2025-01-10,2025-01-12
LN98135,CUST98528,Home,103997.4,7.6,12,2159.27,Active,2025-01-10,2025-01-12
LN98136,CUST98300,Education,176892.31,4.19,120,2860.18,Active,2025-01-10,2025-01-12
LN98137,CUST98799,Auto,111288.98,4.52,12,2097.4,Active,2025-01-10,2025-01-12
LN98138,CUST98130,Auto,55914.8,6.04,12,1232.55,Active,2025-01-10,2025-01-12
LN98139,CUST98591,Auto,258180.4,5.75,120,1005.82,Active,2025-01-10,2025-01-12
LN98140,CUST98450,Auto,124270.68,4.41,60,1842.74,Active,2025-01-10,2025-01-12
LN98141,CUST98643,Education,254219.34,5.61,24,335.77,Active,2025-01-10,2025-01-12
LN98142,CUST98971,Home,138813.84,4.55,36,780.15,Active,2025-01-10,2025-01-12
LN98143,CUST98076,Education,21823.85,9.1,24,1058.05,Active,2025-01-10,2025-01-12
LN98144,CUST98437,Auto,299012.72,6.71,36,483.29,Active,2025-01-10,2025-01-12
LN98145,CUST98921,Home,92882.97,10.3,60,740.18,Active,2025-01-10,2025-01-12
LN98146,CUST98577,Auto,46104.16,6.31,12,1564.79,Active,2025-01-10,2025-01-12
LN98147,CUST98121,Auto,219824.03,10.49,120,589.25,Active,2025-01-10,2025-01-12
LN98148,CUST98947,Home,33982.89,7.77,36,1264.95,Active,2025-01-10,2025-01-12
LN98149,CUST98242,Auto,176275.36,8.38,60,256.3,Active,2025-01-10,2025-01-12
LN98150,CUST98008,Education,102021.15,6.54,120,584.61,Active,2025-01-10,2025-01-12
LN98151,CUST98215,Education,59783.88,7.35,24,456.84,Active,2025-01-10,2025-01-12
LN98152,CUST98968,Auto,150843.87,5.8,60,1935.38,Active,2025-01-10,2025-01-12
LN98153,CUST98547,Personal,71490.91,10.82,36,1150.58,Active,2025-01-10,2025-01-12
LN98154,CUST98512,Home,292951.31,8.2,120,499.71,Active,2025-01-10,2025-01-12
LN98155,CUST98860,Education,81088.92,5.17,12,2193.01,Active,2025-01-10,2025-01-12
LN98156,CUST98211,Home,133848.95,4.78,24,2918.66,Active,2025-01-10,2025-01-12
LN98157,CUST98801,Auto,161464.93,11.16,120,2422.49,Active,2025-01-10,2025-01-12
LN98158,CUST98385,Education,142973.34,5.61,24,1484.76,Active,2025-01-10,2025-01-12
LN98159,CUST98365,Personal,37997.53,4.54,120,2226.49,Active,2025-01-10,2025-01-12
LN98160,CUST98072,Auto,196375.67,10.94,12,2125.41,Active,2025-01-10,2025-01-12
LN98161,CUST98374,Personal,153577.86,6.42,120,1383.49,Active,2025-01-10,2025-01-12
LN98162,CUST98899,Home,231741.72,7.03,12,2987.01,Active,2025-01-10,2025-01-12
LN98163,CUST98608,Education,109074.36,10.07,120,1621.09,Active,2025-01-10,2025-01-12
LN98164,CUST98847,Home,128112.79,3.69,24,1165.63,Active,2025-01-10,2025-01-12
LN98165,CUST98948,Education,292620.9,10.98,60,1347.03,Active,2025-01-10,2025-01-12
LN98166,CUST98302,Personal,291180.17,8.22,60,141.22,Active,2025-01-10,2025-01-12
LN98167,CUST98487,Education,264360.11,6.24,24,2129.28,Active,2025-01-10,2025-01-12
LN98168,CUST98280,Education,227711.37,10.22,36,591.14,Active,2025-01-10,2025-01-12
LN98169,CUST98996,Home,277883.93,7.22,60,1144.21,Active,2025-01-10,2025-01-12
LN98170,CUST98987,Education,202042.69,10.76,60,2850.63,Active,2025-01-10,2025-01-12
LN98171,CUST98900,Personal,197349.52,8.95,24,2064.89,Active,2025-01-10,2025-01-12
LN98172,CUST98244,Auto,294908.58,9.57,120,2753.38,Active,2025-01-10,2025-01-12
LN98173,CUST98500,Personal,221455.56,4.52,36,1773.65,Active,2025-01-10,2025-01-12
LN98174,CUST98580,Home,273123.46,4.54,12,1742.71,Active,2025-01-10,2025-01-12
LN98175,CUST98769,Personal,218508.85,8.66,12,419.76,Active,2025-01-10,2025-01-12
LN98176,CUST98514,Personal,196785.8,11.43,24,638.35,Active,2025-01-10,2025-01-12
LN98177,CUST98524,Auto,293550.22,8.11,24,222.89,Active,2025-01-10,2025-01-12
LN98178,CUST98365,Education,267501.15,7.54,24,2238.97,Active,2025-01-10,2025-01-12
LN98179,CUST98734,Education,158573.21,4.93,24,1572.44,Active,2025-01-10,2025-01-12
LN98180,CUST98983,Education,260385.19,10.84,60,273.4,Active,2025-01-10,2025-01-12
LN98181,CUST98944,Education,143608.95,4.22,120,1717.49,Active,2025-01-10,2025-01-12
LN98182,CUST98449,Personal,33696.45,5.65,12,2846.22,Active,2025-01-10,2025-01-12
LN98183,CUST98820,Personal,26698.16,3.94,60,2619.04,Active,2025-01-10,2025-01-12
LN98184,CUST98200,Personal,180009.57,4.93,12,2140.15,Active,2025-01-10,2025-01-12
LN98185,CUST98615,Personal,55902.41,7.84,36,2240.35,Active,2025-01-10,2025-01-12
LN98186,CUST98252,Education,278150.06,8.06,60,2857.81,Active,2025-01-10,2025-01-12
LN98187,CUST98594,Education,82333.5,11.98,12,194.08,Active,2025-01-10,2025-01-12
LN98188,CUST98055,Personal,28904.35,4.15,24,1966.47,Active,2025-01-10,2025-01-12
LN98189,CUST98952,Auto,46924.33,11.16,12,1222.67,Active,2025-01-10,2025-01-12
LN98190,CUST98706,Personal,137141.05,5.04,120,835.9,Active,2025-01-10,2025-01-12
LN98191,CUST98150,Home,6651.41,6.16,36,2955.11,Active,2025-01-10,2025-01-12
LN98192,CUST98954,Home,271818.53,5.81,36,2278.77,Active,2025-01-10,2025-01-12
LN98193,CUST98178,Education,59370.04,4.44,12,117.54,Active,2025-01-10,2025-01-12
LN98194,CUST98312,Education,18398.25,7.4,12,2233.77,Active,2025-01-10,2025-01-12
LN98195,CUST98943,Home,36871.0,6.49,12,1680.44,Active,2025-01-10,2025-01-12
LN98196,CUST98651,Home,272374.79,3.77,120,375.34,Active,2025-01-10,2025-01-12
LN98197,CUST98652,Auto,51231.56,10.66,120,2202.6,Active,2025-01-10,2025-01-12
LN98198,CUST98305,Personal,175870.86,9.58,12,119.1,Active,2025-01-10,2025-01-12
LN98199,CUST98350,Home,168610.63,8.46,120,938.4,Active,2025-01-10,2025-01-12
LN98200,CUST98755,Education,186864.88,8.24,12,566.72,Active,2025-01-10,2025-01-12
LN98201,CUST98341,Personal,289396.41,6.23,36,2781.53,Active,2025-01-10,2025-01-12
LN98202,CUST98064,Personal,249805.5,4.89,120,1818.56,Active,2025-01-10,2025-01-12
LN98203,CUST98579,Education,132058.12,4.03,60,530.52,Active,2025-01-10,2025-01-12
LN98204,CUST98390,Personal,95106.42,8.81,24,415.89,Active,2025-01-10,2025-01-12
LN98205,CUST98056,Personal,134063.73,8.55,24,2486.42,Active,2025-01-10,2025-01-12
LN98206,CUST98205,Auto,174259.62,10.43,120,1093.57,Active,2025-01-10,2025-01-12
LN98207,CUST98896,Auto,12843.79,6.72,24,2809.52,Active,2025-01-10,2025-01-12
LN98208,CUST98881,Education,236478.62,9.24,12,334.04,Active,2025-01-10,2025-01-12
LN98209,CUST98452,Education,100376.14,8.99,120,2824.32,Active,2025-01-10,2025-01-12
LN98210,CUST98488,Personal,213687.1,7.05,12,1053.42,Active,2025-01-10,2025-01-12
LN98211,CUST98755,Auto,212443.57,3.3,24,1749.63,Active,2025-01-10,2025-01-12
LN98212,CUST98663,Education,283765.24,8.2,120,2150.89,Active,2025-01-10,2025-01-12
LN98213,CUST98814,Education,192604.57,10.19,24,830.9,Active,2025-01-10,2025-01-12
LN98214,CUST98290,Education,236728.45,6.95,12,2964.18,Active,2025-01-10,2025-01-12
LN98215,CUST98648,Home,225397.41,3.78,12,1441.16,Active,2025-01-10,2025-01-12
LN98216,CUST98336,Personal,107449.4,11.06,36,1036.87,Active,2025-01-10,2025-01-12
LN98217,CUST98646,Education,30219.49,5.33,24,2979.5,Active,2025-01-10,2025-01-12
LN98218,CUST98006,Home,94334.25,6.39,36,374.48,Active,2025-01-10,2025-01-12
LN98219,CUST98332,Home,20366.49,6.0,36,1712.45,Active,2025-01-10,2025-01-12
LN98220,CUST98417,Home,69796.4,6.57,120,1446.39,Active,2025-01-10,2025-01-12
LN98221,CUST98346,Auto,30725.64,3.6,24,334.02,Active,2025-01-10,2025-01-12
LN98222,CUST98009,Personal,34652.99,4.07,120,1453.53,Active,2025-01-10,2025-01-12
LN98223,CUST98044,Home,16343.29,6.21,36,601.5,Active,2025-01-10,2025-01-12
LN98224,CUST98107,Home,7351.38,3.7,12,1399.61,Active,2025-01-10,2025-01-12
LN98225,CUST98712,Home,172023.03,3.75,36,536.8,Active,2025-01-10,2025-01-12
LN98226,CUST98602,Education,172436.14,4.5,24,750.16,Active,2025-01-10,2025-01-12
LN98227,CUST98309,Home,35900.64,6.53,24,653.17,Active,2025-01-10,2025-01-12
LN98228,CUST98143,Home,175164.81,6.57,60,143.78,Active,2025-01-10,2025-01-12
LN98229,CUST98237,Auto,26658.9,9.29,36,1493.62,Active,2025-01-10,2025-01-12
LN98230,CUST98253,Education,110092.99,9.01,24,402.3,Active,2025-01-10,2025-01-12
LN98231,CUST98638,Personal,119484.27,5.44,12,1115.65,Active,2025-01-10,2025-01-12
LN98232,CUST98692,Auto,13009.49,6.7,12,1260.83,Active,2025-01-10,2025-01-12
LN98233,CUST98255,Auto,149312.56,6.5,120,1501.79,Active,2025-01-10,2025-01-12
LN98234,CUST98472,Personal,38332.09,8.18,120,1172.65,Active,2025-01-10,2025-01-12
LN98235,CUST98630,Home,106867.26,4.42,120,1636.18,Active,2025-01-10,2025-01-12
LN98236,CUST98275,Education,171189.59,5.82,12,1040.62,Active,2025-01-10,2025-01-12
LN98237,CUST98530,Personal,271940.83,6.57,12,2688.42,Active,2025-01-10,2025-01-12
LN98238,CUST98205,Personal,53659.3,3.4,120,636.27,Active,2025-01-10,2025-01-12
LN98239,CUST98172,Auto,107274.07,10.87,12,2298.36,Active,2025-01-10,2025-01-12
LN98240,CUST98792,Education,51286.35,9.9,12,2617.66,Active,2025-01-10,2025-01-12
LN98241,CUST98596,Home,77553.72,3.72,24,2996.53,Active,2025-01-10,2025-01-12
LN98242,CUST98106,Auto,56499.47,3.76,120,1279.42,Active,2025-01-10,2025-01-12
LN98243,CUST98173,Personal,143609.72,10.52,24,1740.39,Active,2025-01-10,2025-01-12
LN98244,CUST98721,Auto,77128.58,10.4,12,1421.62,Active,2025-01-10,2025-01-12
LN98245,CUST98319,Education,231231.09,9.35,24,1550.52,Active,2025-01-10,2025-01-12
LN98246,CUST98931,Auto,259045.78,9.73,12,886.22,Active,2025-01-10,2025-01-12
LN98247,CUST98785,Personal,149299.87,4.21,120,2407.14,Active,2025-01-10,2025-01-12
LN98248,CUST98871,Education,193366.41,9.27,60,2595.52,Active,2025-01-10,2025-01-12
LN98249,CUST98929,Personal,251189.02,6.63,24,150.77,Active,2025-01-10,2025-01-12
LN98250,CUST98591,Home,143416.17,4.01,120,1201.18,Active,2025-01-10,2025-01-12
LN98251,CUST98200,Home,271836.52,11.75,12,1207.73,Active,2025-01-10,2025-01-12
LN98252,CUST98813,Personal,297843.41,11.6,12,2590.34,Active,2025-01-10,2025-01-12
LN98253,CUST98643,Home,285495.47,6.65,12,1095.0,Active,2025-01-10,2025-01-12
LN98254,CUST98655,Auto,130173.01,4.05,36,2011.17,Active,2025-01-10,2025-01-12
LN98255,CUST98428,Auto,189982.12,4.65,24,1835.46,Active,2025-01-10,2025-01-12
LN98256,CUST98781,Education,205706.67,7.26,60,555.06,Active,2025-01-10,2025-01-12
LN98257,CUST98890,Auto,290045.27,7.63,60,389.53,Active,2025-01-10,2025-01-12
LN98258,CUST98006,Education,38651.76,4.56,12,2428.82,Active,2025-01-10,2025-01-12
LN98259,CUST98384,Education,77357.59,8.41,60,1170.5,Active,2025-01-10,2025-01-12
LN98260,CUST98562,Auto,23544.77,3.34,60,1784.95,Active,2025-01-10,2025-01-12
LN98261,CUST98620,Education,275481.82,3.11,120,921.12,Active,2025-01-10,2025-01-12
LN98262,CUST98471,Auto,41939.29,5.91,24,2590.82,Active,2025-01-10,2025-01-12
LN98263,CUST98167,Auto,61653.54,9.87,120,1784.81,Active,2025-01-10,2025-01-12
LN98264,CUST98129,Education,127778.47,9.59,24,974.1,Active,2025-01-10,2025-01-12
LN98265,CUST98085,Home,16008.02,4.5,12,2332.53,Active,2025-01-10,2025-01-12
LN98266,CUST98401,Auto,100988.65,6.97,24,1330.92,Active,2025-01-10,2025-01-12
LN98267,CUST98072,Education,149180.19,6.24,36,334.82,Active,2025-01-10,2025-01-12
LN98268,CUST98127,Home,145856.25,10.58,60,426.03,Active,2025-01-10,2025-01-12
LN98269,CUST98789,Home,143324.8,10.35,12,107.28,Active,2025-01-10,2025-01-12
LN98270,CUST98083,Personal,291948.65,4.62,24,1598.51,Active,2025-01-10,2025-01-12
LN98271,CUST98569,Personal,63288.48,5.18,36,1429.44,Active,2025-01-10,2025-01-12
LN98272,CUST98536,Home,190371.09,9.77,24,764.5,Active,2025-01-10,2025-01-12
LN98273,CUST98082,Education,177239.81,9.25,24,864.28,Active,2025-01-10,2025-01-12
LN98274,CUST98540,Auto,228999.95,10.42,36,2797.17,Active,2025-01-10,2025-01-12
LN98275,CUST98155,Home,67274.96,11.06,24,2433.67,Active,2025-01-10,2025-01-12
LN98276,CUST98179,Personal,115837.06,11.51,60,1800.6,Active,2025-01-10,2025-01-12
LN98277,CUST98948,Home,106111.46,8.65,120,2960.12,Active,2025-01-10,2025-01-12
LN98278,CUST98727,Personal,248818.17,7.25,24,1286.77,Active,2025-01-10,2025-01-12
LN98279,CUST98513,Auto,184997.11,11.86,36,2913.87,Active,2025-01-10,2025-01-12
LN98280,CUST98297,Personal,252652.04,8.45,120,1085.6,Active,2025-01-10,2025-01-12
LN98281,CUST98796,Auto,223240.76,6.07,12,648.47,Active,2025-01-10,2025-01-12
LN98282,CUST98387,Auto,183990.35,3.4,12,244.63,Active,2025-01-10,2025-01-12
LN98283,CUST98705,Education,5796.31,9.9,36,1894.25,Active,2025-01-10,2025-01-12
LN98284,CUST98289,Education,105928.03,5.61,12,1202.7,Active,2025-01-10,2025-01-12
LN98285,CUST98543,Education,101195.88,11.11,12,2681.93,Active,2025-01-10,2025-01-12
LN98286,CUST98050,Personal,41338.75,4.38,12,1218.46,Active,2025-01-10,2025-01-12
LN98287,CUST98295,Auto,268466.35,6.09,12,629.19,Active,2025-01-10,2025-01-12
LN98288,CUST98599,Auto,195424.74,10.79,120,721.63,Active,2025-01-10,2025-01-12
LN98289,CUST98515,Home,179316.13,9.59,36,877.45,Active,2025-01-10,2025-01-12
LN98290,CUST98851,Personal,23919.16,5.35,12,2613.1,Active,2025-01-10,2025-01-12
LN98291,CUST98593,Home,229369.09,11.94,24,2542.59,Active,2025-01-10,2025-01-12
LN98292,CUST98459,Education,57200.78,8.78,36,393.19,Active,2025-01-10,2025-01-12
LN98293,CUST98175,Auto,188496.63,6.6,36,1837.5,Active,2025-01-10,2025-01-12
LN98294,CUST98991,Auto,128907.48,10.28,120,746.24,Active,2025-01-10,2025-01-12
LN98295,CUST98506,Auto,231697.61,10.61,60,1854.83,Active,2025-01-10,2025-01-12
